"Time","soap brows"
"2020-01-01",16
"2020-02-01",20
"2020-03-01",23
"2020-04-01",26
"2020-05-01",24
"2020-06-01",29
"2020-07-01",43
"2020-08-01",47
"2020-09-01",39
"2020-10-01",27
"2020-11-01",26
"2020-12-01",25
"2021-01-01",32
"2021-02-01",36
"2021-03-01",100
"2021-04-01",77
"2021-05-01",55
"2021-06-01",35
"2021-07-01",42
"2021-08-01",33
"2021-09-01",24
"2021-10-01",23
"2021-11-01",23
"2021-12-01",31
"2022-01-01",34
"2022-02-01",28
"2022-03-01",24
"2022-04-01",24
"2022-05-01",17
"2022-06-01",14
"2022-07-01",16
"2022-08-01",27
"2022-09-01",18
"2022-10-01",13
"2022-11-01",14
"2022-12-01",14
"2023-01-01",14
"2023-02-01",21
"2023-03-01",16
"2023-04-01",15
"2023-05-01",10
"2023-06-01",8
"2023-07-01",9
"2023-08-01",10
"2023-09-01",7
"2023-10-01",8
"2023-11-01",8
"2023-12-01",9
"2024-01-01",11
"2024-02-01",8
"2024-03-01",8
"2024-04-01",9
"2024-05-01",9
"2024-06-01",9
"2024-07-01",18
"2024-08-01",12
"2024-09-01",9
"2024-10-01",6
"2024-11-01",8
"2024-12-01",7
"2025-01-01",13
"2025-02-01",7
"2025-03-01",7
"2025-04-01",5
"2025-05-01",4
"2025-06-01",4
"2025-07-01",5
"2025-08-01",5
"2025-09-01",4
"2025-10-01",4
"2025-11-01",3
"2025-12-01",4
"2026-01-01",6
"2026-02-01",4
"2026-03-01",4
